 ,Sr,Therapy Area,Condition,Molecule,Route of Administration,Country,Participants,Services,Sub Services,Channel,Adoption,Program Measure,Program benefit vs non-program,Source
99,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Inperson,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
100,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
101,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Usage Support,Dose/inj training,Inperson,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
102,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Home Delivery/Order,-,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
103,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Disposal,-,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
104,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Routine,Reminders,Telephone,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
105,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Co-pay,Telephone,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
106,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Insurance support,Telephone,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
107,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Free-Supply,Telephone,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
108,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Motivation/Confidence,Coaching/Counseling,Inperson,,Adherence_MPR_mean,3.0,https://doi.org/10.1016/j.clinthera.2018.02.001
109,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Carer Enablement,,Telephone (Nurse/AHP),,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
110,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Inperson,,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
111,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
112,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Usage Support,Dose/inj training,Inperson,,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
113,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Logistics,Disposal,-,,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
114,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Medicine Routine,Reminders,Telephone,,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
115,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Co-pay,Telephone,,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
116,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Financial,Insurance support,Telephone,,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
117,21,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,Canada,38840,Motivation/Confidence,Coaching/Counseling,Inperson,,Perc_Dispensed Rx,56.0,https://doi.org/10.1016/j.clinthera.2018.02.001
118,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Carer Enablement,,Telephone (Nurse/AHP),,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
119,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Inperson,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
120,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
121,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Usage Support,Dose/inj training,Inperson,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
122,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Home Delivery/Order,-,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
123,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Disposal,-,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
124,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Routine,Reminders,Telephone,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
125,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Co-pay,Telephone,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
126,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Insurance support,Telephone,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
127,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Free-Supply,Telephone,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
128,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Motivation/Confidence,Coaching/Counseling,Inperson,,Adherence_MPR_gr80%,67.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
129,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Carer Enablement,,Telephone (Nurse/AHP),,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
130,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Inperson,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
131,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
132,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Usage Support,Dose/inj training,Inperson,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
133,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Home Delivery/Order,-,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
134,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Disposal,-,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
135,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Routine,Reminders,Telephone,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
136,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Co-pay,Telephone,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
137,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Insurance support,Telephone,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
138,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Free-Supply,Telephone,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
139,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Motivation/Confidence,Coaching/Counseling,Inperson,,Adherence_MPR_mean,33.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
140,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Carer Enablement,,Telephone (Nurse/AHP),,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
141,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Inperson,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
142,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
143,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Usage Support,Dose/inj training,Inperson,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
144,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Home Delivery/Order,-,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
145,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Disposal,-,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
146,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Routine,Reminders,Telephone,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
147,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Co-pay,Telephone,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
148,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Insurance support,Telephone,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
149,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Free-Supply,Telephone,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
150,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Motivation/Confidence,Coaching/Counseling,Inperson,,Perc_Persistence,52.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
151,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Inperson,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
152,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
153,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Usage Support,Dose/inj training,Inperson,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
154,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Home Delivery/Order,-,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
155,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Disposal,-,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
156,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Routine,Reminders,Telephone,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
157,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Co-pay,Telephone,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
158,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Insurance support,Telephone,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
159,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Motivation/Confidence,Coaching/Counseling,Inperson,,Persistence_DaysOnTh,30.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
160,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Carer Enablement,,Telephone (Nurse/AHP),,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
161,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Inperson,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
162,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
163,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Usage Support,Dose/inj training,Inperson,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
164,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Home Delivery/Order,-,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
165,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Logistics,Disposal,-,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
166,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Medicine Routine,Reminders,Telephone,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
167,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Co-pay,Telephone,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
168,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Insurance support,Telephone,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
169,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Financial,Free-Supply,Telephone,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
170,17,Autoimmune diseases,"Crohn’s Disease, Ulcerative Colitis, Rheumatoid Arthritis, Psoriasis, Hidradenitis Suppurativa, Psoriatic Arthritis, Ankylosing Spondylitis",Adalimumab,SC,USA,1952,Motivation/Confidence,Coaching/Counseling,Inperson,,Perc_LowPain,16.0,https://link.springer.com/article/10.1007/s40744-021-00309-9
171,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Patient Education,Nurse/AHP assistance,Inperson,,Perc_Persistence_12mnth,11.0,https://doi.org/10.2147/PPA.S59496
172,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Patient Education,Website,Website,,Perc_Persistence_12mnth,11.0,https://doi.org/10.2147/PPA.S59496
173,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Patient Education,App,App,,Perc_Persistence_12mnth,11.0,https://doi.org/10.2147/PPA.S59496
174,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Medicine Logistics,Home Delivery/Order,-,,Perc_Persistence_12mnth,11.0,https://doi.org/10.2147/PPA.S59496
175,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Medicine Usage Support,Dose/inj training,Inperson,,Perc_Persistence_12mnth,11.0,https://doi.org/10.2147/PPA.S59496
176,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Medicine Usage Support,"Dose support (inc. Induction, FDO, Titration)",Inperson,,Perc_Persistence_12mnth,11.0,https://doi.org/10.2147/PPA.S59496
177,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Patient Education,Nurse/AHP assistance,Inperson,,Perc_Persistence_24mnth,23.0,https://doi.org/10.2147/PPA.S59496
178,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Patient Education,Nurse/AHP assistance,Telephone (Nurse/AHP),,Perc_Persistence_24mnth,23.0,https://doi.org/10.2147/PPA.S59496
179,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Patient Education,Website,Website,,Perc_Persistence_24mnth,23.0,https://doi.org/10.2147/PPA.S59496
180,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Patient Education,App,App,,Perc_Persistence_24mnth,23.0,https://doi.org/10.2147/PPA.S59496
181,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Medicine Routine,Reminders,Email/SMS/Mail,,Perc_Persistence_24mnth,23.0,https://doi.org/10.2147/PPA.S59496
182,23,Neurology,Multiple sclerosis,IFN β-1a,SC,Republic of Ireland,2884,Medicine Usage Support,Dose/inj training,Inperson,,Perc_Persistence_24mnth,23.0,https://doi.org/10.2147/PPA.S59496
